Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Report	无成功失败/中性回答	Success!	Failed!	数值参数(SECRET为事件ID)	文本参数		
First	1	Who are you?	My name is [NAME]... Greetings, Elder!						
First	3	I am [NAME], and you are?	Greetings, Elder. I'm [NAME]!						
First	4	I am [NAME]. Nice to meet you!	Uh, I'm [NAME]!						
First	5	Nice to meet you. I'm [NAME], and may I ask what's your name?	Welcome. I'm [NAME]. Nice to meet you!						
									
Track	0	Do you know where [TNAME] from [TSCHOOL] has gone these days?	I have no interest in this person.	I think he is in [TXT] these days.	Why should I tell you?				
TrackTell	0	[TNAME] from [TSCHOOL] is in [TXT].	I have no interest in this person.	Thanks for the information!	I already knew that.				
									
TrackT	0	Do you plan on travelling anywhere?	...	I'm planning on visiting [TXT]. What's the matter?	Why should I tell you?				
TrackTellT	0	Are you going to [TXT]? Travel safely.	Oh...	Thanks for the warning. I will be careful!	How did you know?				
									
AboutNpc	0	Do you know [TNAME] from [TSCHOOL]?	Who is this guy? I don't know.	I know a little about [TNAME] in [TXT].	Do you know anything about [ENHIM]?				
									
Gift	1	My present for you!	Thanks, Elder!	Thanks, Elder!	... (Stutters)				
Gift	3	This [TXT] is for you. Do you like it?	This is nice. Thanks!	Very nice. Thanks, Elder!	Uh... (Frowning)				
Gift	4	You can have this [TXT], please!	Oh, not bad.	Very nice. Thanks!	Humph...				
Gift	5	You can have this [TXT], please!	Oh, not bad.	Very nice. Thanks!	Tsk, tsk...				
									
Invite	1	Are you interested in a trip to our majestic mountains?	I've answered that.	Great! Is this the best Immortal Destiny?!	I have many unfinished tasks here in the mortal realm. I can't go.				
Invite	2	[HENAME], are you interested in being a guest at our sect?	I've answered that.	I was thinking the same thing!	I'm too busy these days. Excuse me!				
									
Close	1	That's it for today!	Farewell, Elder!						
Close	2	That's it for today, friend. Farewell!	Till we meet again!						
									
Secret	2	Something interesting as of late?	I'll let you in on a secret I just heard.						
									
Interest	0	Yes? What's the matter?	I'm interested in [TNAME] from [TSCHOOL]. Do you know anything?						
Interest	0	Yes? What's the matter?	Have you heard from [TSCHOOL]'s [TNAME]?						
Interest	0	Yes? What's the matter?	Have you seen [TNAME] from [TSCHOOL]?						
									
Know	0	Anything new as of late?	I know something about [TXT] of [TNAME] from [TSCHOOL].						
Know	0	Anything new as of late?	I heard some news about [TXT] of [TNAME] from [TSCHOOL].						
Know	0	Anything new as of late?	I saw [TNAME] from [TSCHOOL] the other day. Looked well.						
									
Chat	0	How's it going?	Tsk, tsk.						
Chat	0	Sometimes I feel isolated from everything else in the world and very lonely.	... I don't know what you're talking about...						
Chat	0	Anything new as of late?	Another day and nothing new. How boring.						
