ID	Des	Disname
		
-1	Vazio	Empty
1	Conceda ao artefato uma pequena quantidade de Epifania de Maestria de Artefato.	Epifania Secreta: Pequena
2	Conceda ao artefato uma pequena quantidade de Epifania de Maestria de Artefato.	Epifania Secreta: Grande
3	Conceda ao artefato uma pequena quantidade de Epifania de Magia.	Epifania Secreta: Pequena
4	Conceda ao artefato uma grande quantidade de Epifania de Magia.	Epifania Secreta: Grande
5	Conceda ao artefato uma pequena quantidade de Epifania de Proteção.	Epifania Secreta: Pequena
6	Conceda ao artefato uma grande quantidade de Epifania de Proteção.	Epifania Secreta: Grande
7	Conceda ao artefato uma pequena quantidade de Epifania de Alquimia.	Epifania Secreta: Pequena
8	Conceda ao artefato uma grande quantidade de Epifania de Alquimia.	Epifania Secreta: Grande
9	Conceda ao artefato uma pequena quantidade de Epifania de Criação de Artefatos.	Epifania Secreta: Pequena
10	Conceda ao artefato uma grande quantidade de Epifania de Criação de Artefatos.	Epifania Secreta: Grande
11	Dê ao artefato um manual para novatos de Maestria de Artefatos.	Epifania Secreta: [TXT]
12	Dê ao artefato um manual avançado de Maestria de Artefato.	Epifania Secreta: [TXT]
13	Dê ao artefato um manual requintado de Maestria de Artefato.	Epifania Secreta: [TXT]
14	Conceda ao artefato um profundo manual de Maestria de Artefato.	Epifania Secreta: [TXT]
15	Dê ao artefato um manual para iniciantes de Magia.	Epifania Secreta: [TXT]
16	Dê ao artefato um manual avançado de Magia.	Epifania Secreta: [TXT]
17	Dê ao artefato um manual requintado de Magia.	Epifania Secreta: [TXT]
18	Conceda ao artefato um profundo manual de Magia.	Epifania Secreta: [TXT]
19	Doe o artefato com um manual de proteção para novatos.	Epifania Secreta: [TXT]
20	Doe o artefato com um manual avançado de Proteção.	Epifania Secreta: [TXT]
21	Dê ao artefato um requintado manual de proteção.	Epifania Secreta: [TXT]
22	Conceda ao artefato um profundo manual de Proteção.	Epifania Secreta: [TXT]
23	Dê ao artefato um manual de alquimia para novatos.	Epifania Secreta: [TXT]
24	Dê ao artefato um manual avançado de Alquimia.	Epifania Secreta: [TXT]
25	Dê ao artefato um manual requintado de Alquimia.	Epifania Secreta: [TXT]
26	Conceda ao artefato um profundo manual de Alquimia.	Epifania Secreta: [TXT]
27	Dê ao artefato um manual para iniciantes de Criação de Artefatos.	Epifania Secreta: [TXT]
28	Dê ao artefato um manual avançado de Criação de Artefatos.	Epifania Secreta: [TXT]
29	Dê ao artefato um manual requintado de Criação de Artefatos.	Epifania Secreta: [TXT]
30	Dê ao artefato um profundo manual de Criação de Artefatos.	Epifania Secreta: [TXT]
31	Dê ao artefato um manual de Cultivo para novatos.	Epifania Secreta: [TXT]
32	Dê ao artefato um manual avançado de Cultivo.	Epifania Secreta: [TXT]
33	Dê ao artefato um requintado manual de Cultivo.	Epifania Secreta: [TXT]
34	Dê ao artefato um profundo manual de Cultivo.	Epifania Secreta: [TXT]
35	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Pequena
36	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Pequena
37	Conceda ao artefato uma quantidade média de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Média
38	Conceda ao artefato uma grande quantidade de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Grande
39	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Enorme
40	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu Poder de Artefato.	Epifania de Habilidade: Maciça
41	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Pequena
42	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Pequena
43	Conceda ao artefato uma quantidade média de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Média
44	Conceda ao artefato uma grande quantidade de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Grande
45	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Enorme
46	Conceda ao artefato uma enorme quantidade de habilidade, aumentando seu poder mágico.	Epifania de Habilidade: Maciça
47	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Pequena
48	Conceda ao artefato uma pequena quantidade de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Pequena
49	Conceda ao artefato uma quantidade média de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Média
50	Conceda ao artefato uma grande quantidade de habilidade, aumentando seu Poder de Barreira.	Epifania de Habilidade: Grande
