房间	Quarto
仓库1	Armazém 1
仓库2	Armazém 2
兔皮薄衣衫	Camisa Fina de Pele de Coelho
紫布休闲下裳	Calças Casuais de Tecido Roxo
蓝布薄衣衫	Camisa Fina de Tecido Azul
白布薄下裳	Calças Finas de Tecido Branco
大理石剑	Espada de Mármore
寒晶伐木斧	Machado de Cristal de Gelo
肉干	Carnes Secas
木伐木斧	Machado de Madeira
木矿镐	Picareta de Madeira
紫布薄衣衫	Camisa Fina de Tecido Roxo
蓝布修行下裳	Calças de Cultivador de Tecido Azul
木刀	Faca de Madeira
灰石矿镐	Picareta de Pedra Cinza
木墙	Parede de Madeira
木门	Porta de Madeira
木床	Cama de Madeira
灵石炉灶	Fogão de Pedra Espiritual
梧桐木桌子	Mesa de Madeira de Parasol
梧桐木墙	Parede de Madeira de Parasol
梧桐木门	Porta de Madeira de Parasol
材料加工点	Ponto de Processamento de Materiais
手工点	Ponto de Artesanato
灵石水井	Poco de Água de Pedra Espiritual
母兔子	Coiote Fêmea
公鸡	Galo
雄龟	Cuidador Masculino
雌龟	Cuidadora Fêmea
雄青蛙	Frog Masculino
雌青蛙	Frog Feminino
<font color=MYCOLOR>梁菊</font>看到<font color=HECOLOR>双元</font>打老远过来，就向他挥了挥手，打了个招呼。	Liang Ju viu Shuang Yuan se aproximando de longe e acenou com a mão para cumprimentá-lo.
2天 07:20	2d 07:20
万里无云，<font color=MYCOLOR>梁菊</font>一个人制作<font color=OBJCOLOR>矿镐</font>，突然思绪万千。	O céu estava claro sem nuvens, Liang Ju estava fazendo uma picareta de mineração sozinha, quando, de repente, muitos pensamentos invadiram sua mente.
2天 14:21	2d 14:21
梁	Liang
菊	Ju
新家园	Nova Terra
双元	Shuang Yuan
伟	Wei
弘	Hong
新柔	Xinrou
欧阳	Ouyang
寻雪	Xunxue
<font color=MYCOLOR>双元</font>看到<font color=HECOLOR>梁菊</font>打老远过来，就向她挥了挥手，打了个招呼。	Shuang Yuan viu Liang Ju se aproximando de longe e acenou com a mão para cumprimentá-la.
<font color=MYCOLOR>双元</font>正兴高采烈的赶路，看<font color=HECOLOR>梁菊</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>梁菊</font>的事。	Shuang Yuan estava indo alegremente quando viu Liang Ju passar e puxou ela para conversar sobre Liang Ju.
2天 19:23	2d 19:23
双	Shuang
元	Yuan
梁菊	Liang Ju
安	An
郑	Zheng
依凝	Yining
萧	Xiao
瑞	Rui
佟	Tong
紫雅	Ziya
闫	Yan
震	Zhen
生	Sheng
凌	Ling
傲芙	Aofu
韦	Wei
化烟	Huayan
慕名而来	Chegar por causa de sua reputação
等待收留	Aguardando acolhimento
存档写入完成	Jogo salvo
梁菊感到危险	Liang Ju sentiu perigo
药物储量不足	Reservas de medicamentos insuficientes
食物储量不足	Reservas de comida insuficientes
梁菊情绪糟糕	Liang Ju está emocionalmente mal
梁菊需要开采工具	Liang Ju precisa de ferramenta de mineração
双元需要砍伐工具	Shuang Yuan precisa de ferramenta para cortar
双元：受伤	Shuang Yuan: machucado
梁菊：受伤	Liang Ju: machucada
路人需要帮助	Passante precisa de ajuda
江湖秘闻	Segredo do mundo
天苍246年 春 第10日	246º ano de Tian Cang, 10º dia da Primavera
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que no fundo do grande deserto, o céu se rasgou e a pedra da falésia dos demônios da antiguidade apareceu novamente no mundo!
天火心光诀	Técnica da Luz do Coração do Fogo Celestial
燃魂九极咒	Feitiço de Nove Extremos da Alma Ardente
朱雀金刚	Dragão Vermelho Diamante
造化不坏神雷	Relâmpago Divino da Transformação Inquebrantável
迅影秘法	Técnica Secreta da Sombra Rápida
少量的	Quantidade Pequena
混元决	Técnica da Harmonia do Caos
混元密卷	Volume Secreto da Harmonia do Caos
圆转秘诀	Técnica Secreta do Movimento Circular
黄芽迅击	Técnica Rápida do Broto Amarelo
中量的	Quantidade Média
赤炎迅击秘法	Técnica Secreta do Golpe Rápido das Chamas Vermelhas
黄庭混元宝典	Livro dos Fundamentos da Harmonia do Caos
真丹蓄神剑诀	Técnica da Espada da Alma do Verdadeiro Elixir
神佑典	Manual da Proteção Divina
景氏摄神要诀	Técnica Essencial do Controle Espiritual da Família Jing
紫火神佑典	Manual da Proteção Divina do Fogo Púrpura
大量的	Grande Quantidade
丙火摄神书	Livro do Controle Espiritual do Fogo de Yang
过去庄严琢玉秘传	Transmissão Secreta do Passado de Lapidação de Jade
海量的	Quantidade Massiva
再造形神之术	Técnica de Recriação Espiritual
南海清心神功	Técnica Espiritual da Clareza do Coração do Mar do Sul
