ID	Name	Desc
ID	Name	Description
-1	Mystery Background	[NAME]'s story has been lost, as has all information concerning it. (Empty)
1	Home-schooled	[NAME] received a complete cultural education as a child. Home-schooling allowed [ENHIM] to understand various and sundry fields of information, and it also allowed [ENHIM] to develop a refined manner thanks to the many books available.
2	Child King	[NAME] was born in a small mountain village and was an upstart from the very start, yet leadership ability abounded as well. [NAME] often led a band of kids down the mountain to play and to fight with children from neighboring villages as well.
3	Orphaned	[NAME]'s parents died while still young and so had to figure out to survive without anyone else to provide support. Such a difficult life gave [ENHIM] a more impressive physique and much quicker reaction time than other kids of the same age.
4	Memory Loss	[NAME] completely lost [ITS] childhood memory. Every time that [NAME] tried to recall anything, splitting headaches were the only thing gained for the effort. In an effort to find out the truth, [NAME] spent quite a great deal of effort investigating legends. Although no cause has been found as of yet, the experience has still given [ENHIM] more than a few conversation starters.
5	Eldest Heir	[NAME] is the elder heir to a rich family, who enjoyed a childhood devoid of wants. [NAME] never needed to dirty [ITS] hands, and received only the best education.
6	Eldest Heiress	[NAME] is the eldest daughter of a rich family, who enjoyed a childhood devoid of wants. [IT] never needed to dirty [ITS] hands, and received only the best education.
7	Intellectual Family	[NAME] was born into a Family of Intellectuals and thus is well versed in culture. But the years of writing left [NAME] lacking in terms of physique.
8	Martial Artist Family	[NAME] was born into a family of martial artists and received highly regimented training from a young age. Growing up surrounded by martial artists left an extremely profound understanding of battle.
9	Killer Youth	[NAME] was an orphan who was raised by assassins to be a cold-blooded killer. The orphan was only able to escape this life when the organization of assassins was taken down.
10	Brothel-born	[NAME] was born in a brothel, without any knowledge as to the identity of one's own parents. Growing up on the streets caused [ENHIM] to truly understand the meaning of what is needed to survive.
11	A Born Craftsman	[NAME] grew up in a family of artists and so grew up making all sorts of things by hand.
12	A Butcher's Child	[NAME] grew up in a family of butchers and would help out from time to time. This experience made [ENHIM] savage and strong.
13	Family of Farmers	[NAME] is the eldest son of a family of farmers. The struggles of life on the farm made [ENHIM] understand the ways of the world from young age.
14	Doctor-in-training	[NAME] grew up with a travelling healer, [IT] went all over the land together. These experiences lent [ENHIM] an impressive breadth of knowledge.
15	Family of Officials	[NAME] grew up in a family of government officials so the false facade masking power struggles is all too familiar. [NAME] came to exploit the sincerity and goodness in others from a young age, but this sort of childhood makes it difficult to drop one's guard.
16	Stargazer	[NAME] grew up in a family of astronomers and so has had a keen interest in the cosmos from a young age. As a result, [NAME] grew up with a nose in books and star charts.
17	Well-traveled	[NAME]'s father was an emissary to the west and so frequently accompanied him on his travels abroad. As a result, [NAME] has a keen interest and yearning for all corners of the world.
18	Sugar Baby	[NAME] was brought up by a rich aristocrat. The experiences of this type of childhood caused [ENHIM] to dread relationships between men and women.
19	Child Smith	[NAME] was sold to a Smith from a young age to work as a child laborer, grew up hearing the sounds of a forge at work and wishing to grow up to become a smith.
20	One with the Sea	[NAME] grew up on a boat and so naturally loved the water. Such a childhood left [ENHIM] with a robust physique.
21	Musical Genius	[NAME] was born into a family of musicians, inherited excellent genes and so is an exceptional genius when it comes to music.
22	Child of a Demon	[NAME]'s mother was tricked by Fallen Demons and became pregnant with [ENHIM]. [NAME] possesses demon's blood, thus making [ENHIM] difficult to look at to say the least and a subject of discrimination to boot.
23	Blessed	[NAME] was born into a world of good luck, it's as if night is day for this one. [NAME]'s destiny is a blessed one.
24	Starkiller	[NAME] is the reincarnation of the seven killing stars in the sky and so was born to bring slaughter to the battlefield.
25	Leader among Men	[NAME] is intelligent beyond compare, this one is a unique genius on this earth. [NAME] masters any subject with ease. Unfortunately though [NAME] was born with a disability, specifically Broken Meridians make it so that this one cannot engage in Practice.
26	Young Shepherd	[NAME] tended to the landlord's flock since a young age. But [NAME] always felt that this destiny was unfair and that one was destined for something greater.
27	Strong Spirit	[NAME] was born with a deficiency in intellect, this one didn't speak until age five as a result and didn't learn how to walk until age 10. [NAME]'s parents practiced infinite patience though. \nAlthough [NAME] is quite inept when intellect is required, but this one has an incredible interest in learning no matter the topic. [NAME] is willing to put in multiple times the effort that others would be willing to put into studying a topic.
28	Child Beggar	[NAME] was abandoned from a young age and ended up being raised by a band of beggars. Once [NAME] began to understand the ways of the world, this child began to beg to eke out an existence. \n A life of begging allowed [NAME] to see the cold indifference of humanity and it also enabled [ENHIM] to become adept at reading people's hearts.
29	Seashell Collector	[NAME] grew up in a poor fishing village by the sea. [NAME] lacked any sort of entertainment during childhood and thus the only pastime that presented itself was collecting seashells by the seashore.
30	Child Spy	[NAME] has an alluring appearance and so was chosen by the court to serve as a political spy and so was dispatched to the enemy capital to conduct espionage. \n While undergoing training, [NAME] emphasized the study of eavesdropping, of concealing one's methods, and of how to take the fall if discovered.
31	Landlord's Son	[NAME] was born into a family of landlords and did not have to toil or learn about practical things. \n[NAME] ended up having relations with a servant from a very young age and found happiness in this, but it also made [ENHIM] even feebler than before.
32	Flower Seller	[NAME]'s parents ran a flower shop. [NAME] began to sell flowers from a flower basket after coming to understand the way the world works. [NAME] developed charisma and became more extroverted and lively thanks to constantly having to deal with people on the street.
33	A Happy Childhood	[NAME]'s parents an offshoot of a prominent family. Despite having no hopes of inheriting the family business, [ITS] parents were always content with no worries of material needs not being met,. \n As a result, [NAME] was taken all across the land by these same parents, it was quite a happy childhood.
34	Wild Child	[NAME] was born in a mountain village, [ITS] parents fell victim to a wolf attack early on. \n[NAME] grew up on the gruel that people were kind enough to give out, though no one ever really cared about the child, and so this child's days were spent out in the wild roaming the mountains, if not in the village. [NAME] never had any friends growing up, other than a dog that is.
35	Child Server	[NAME] grew up in poverty and was sent to serve alcohol at the local tavern from a young age. \nThere was many a drunkard in the tavern and so [NAME] was frequently beaten and scolded. There was even one time that [ITS] leg ended up being broken by a customer.
36	Farmer's Child	[NAME]'s family depended on farming to subsist. and so was taken into the fields from a young age. As a result, [NAME] has quite the green thumb.
37	Farmer's Child	[NAME]'s parents were tenant farmers. They had a plot of land and some hogs. [NAME] began to go to the field to help work the land with [ITS] parents from about seven or eight years of age. [NAME] tended to the hogs and foraged while [ITS] father planted. \nThere was one time, while feeding the hogs, that [NAME] wasn't paying attention and one of them bit off a finger.
38	Farmer's Child	[NAME]'s family were tenant farmers. Farmwork took a significant toll on [ITS] father's body from early on and so was unable to make payments. With no other options, [NAME] was sold to help with the debt. \nThe one that [NAME] was sold to castigated [ENHIM] and worked the child to the bone.
39	Capable Youth	There were three generations of generals in a row in[NAME]'s family and so this child underwent grueling training and study so as to be able to live up to the family name. \nHalf of [ITS] childhood was spent in military training camps, this made [ITS] bones seem to be made of steel.
40	Military Family	[NAME]'s mother passed away early on and his father was a veteran of years of western campaigns. After military activity calmed down, [ITS] father became an instructor for the military and so [NAME] lived in military camps for quite a long time. \nWhile accompanying [ITS] father to suppress some occultists, [NAME] saw some strange magics being employed and so became quite interested in Practice as a result.
